itemsets,support
Apples,0.146
Bananas,0.14433333333333334
Beans,0.15933333333333333
Beef,0.13666666666666666
Bread,0.147
Butter,0.16233333333333333
Carrots,0.14766666666666667
Cereal,0.15266666666666667
Cheese,0.159
Chicken,0.14366666666666666
Coffee,0.13933333333333334
Eggs,0.152
Fish,0.15266666666666667
Juice,0.145
Lettuce,0.14666666666666667
Milk,0.14133333333333334
Onions,0.15233333333333332
Pasta,0.154
Peas,0.17
Potatoes,0.14133333333333334
Rice,0.15433333333333332
Shampoo,0.14666666666666667
Soap,0.154
Soda,0.142
Tea,0.145
Toilet Paper,0.15666666666666668
Tomatoes,0.161
Toothpaste,0.144
Water,0.14533333333333334
Yogurt,0.15033333333333335
