itemsets,support
Peas,0.17
Butter,0.16233333333333333
Tomatoes,0.161
Beans,0.15933333333333333
Cheese,0.159
Toilet Paper,0.15666666666666668
Rice,0.15433333333333332
Soap,0.154
Pasta,0.154
Cereal,0.15266666666666667
Fish,0.15266666666666667
Onions,0.15233333333333332
Eggs,0.152
Yogurt,0.15033333333333335
Carrots,0.14766666666666667
Bread,0.147
Shampoo,0.14666666666666667
Lettuce,0.14666666666666667
Apples,0.146
Water,0.14533333333333334
Juice,0.145
Tea,0.145
Bananas,0.14433333333333334
Toothpaste,0.144
Chicken,0.14366666666666666
Soda,0.142
Potatoes,0.14133333333333334
Milk,0.14133333333333334
Coffee,0.13933333333333334
Beef,0.13666666666666666
